file,torque_col,hook_col,rpm_col,spp_col,pit_col,block_col,depth_col
Norway-Statoil-NO 15_$47$_9-F-14 time.csv,Torque In Amps A,Hookload N,Surface RPM c/s,,Pit Volume - Trip In Group m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Lagged Mud Returns Depth m;Bit Measured Depth m;Hole Depth m;Depth Averaged ROP m/s;Vertical Depth m;Vertical Bit Depth m;ECD at Total Depth kg/m3;ECD at Weakest Depth kg/m3;Pit Volume Reset Depth m
Norway-Statoil-NO 15_$47$_9-F-15 C time.csv,Surface Torque Average N.m,Hookload N,Bit RPM - Total RPM c/s,,Pit Volume - Trip Out Group m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Bit Measured Depth m;Lagged Mud Returns Depth m;Vertical Depth m;Hole Depth m;Pit Volume Reset Depth m;ECD at Weakest Depth kg/m3;ECD at Total Depth kg/m3
Norway-Statoil-NO 15_$47$_9-F-15 D time.csv,Torque In Amps A,Hookload N,Bit RPM - Total RPM c/s,,Pit 30 Volume m3,Block/Topdrive Position Uncompensated 2 m,The mnemonic of the Hole depth m;Vertical Depth m;Bit Measured Depth m;Hole Depth m;Vertical Bit Depth m;ECD at Total Depth kg/m3;ECD at Weakest Depth kg/m3;Pit Volume Reset Depth m;Lagged Mud Returns Depth m;Depth Averaged ROP m/s
Norway-Statoil-NO 15_$47$_9-F-4 time.csv,Torque In Amps A,Hookload N,Bit RPM - Total RPM c/s,,Pit Volume - Trip In Group m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Pit Volume Reset Depth m;Bit Measured Depth m;Lagged Mud Returns Depth m;Vertical Depth m;Vertical Bit Depth m;Hole Depth m;Depth Averaged ROP m/s;ECD at Total Depth kg/m3;ECD at Weakest Depth kg/m3
Norway-Statoil-NO 15_$47$_9-F-5 time.csv,Surface Torque Average N.m,Hookload N,Bit RPM - Total RPM c/s,,Pit Volume - Trip Out Group m3,Block/Topdrive Position Uncompensated 3 m,The mnemonic of the Hole depth m;Hole Depth m;Vertical Depth m;Bit Measured Depth m;Vertical Bit Depth m;Depth Averaged ROP m/s;Lagged Mud Returns Depth m;Pit Volume Reset Depth m;ECD at Weakest Depth kg/m3;ECD at Total Depth kg/m3
Norway-Statoil-NO 15_$47$_9-F-7 time.csv,Surface Torque Average N.m,Hookload N,Surface RPM c/s,,Pit Volume - Trip Out Group m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Hole Depth m;Lagged Mud Returns Depth m;Depth Averaged ROP m/s;Bit Measured Depth m;Vertical Depth m;Vertical Bit Depth m;Pit Volume Reset Depth m;ECD at Total Depth kg/m3;ECD at Weakest Depth kg/m3
Norway-Statoil-NO 15_$47$_9-F-9 time.csv,Surface Torque Average N.m,Hookload N,Surface RPM c/s,,Drill Pit Group Cumulative Volume m3,Block/Topdrive Position Compensated m,Pit Volume Reset Depth m;The mnemonic of the Hole depth m;Hole Depth m;Lagged Mud Returns Depth m;Bit Measured Depth m;Depth Averaged ROP m/s;ECD at Weakest Depth kg/m3;ECD at Total Depth kg/m3;Vertical Bit Depth m;Vertical Depth m
Norway-StatoilHydro-15_$47$_9-F-10 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,MWD Stick-Slip PKtoPK RPM rpm,Average Standpipe Pressure kPa,MudPit Volume Average 5 m3,Block Velocity m/s,Bit Depth (TVD) m;Continuous Survey Depth m;Total Depth m;Bit Depth m;Depth chrom sample (meas) m;Lagged Total Depth m;Bit Depth (MD) m;Total Vertical Depth m;Hole depth (MD) m;Lag Depth (TVD) m;Bit Depth m.1;SRVDEPTH m
Norway-StatoilHydro-15_$47$_9-F-14 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,Bit RPM rpm,Average Standpipe Pressure kPa,,Block Position m,Hole depth (MD) m;Bit Depth (MD) m;Bit Depth (TVD) m;Lag Depth (MD) m;Hole Depth (TVD) m;Continuous Survey Depth m;SRVDEPTH m;Bit Depth m
Norway-StatoilHydro-15_$47$_9-F-15 time.csv,Average Surface Torque ,Average Hookload ,Averaged RPM rpm,Average Standpipe Pressure ,MudPit Volume Average 1 m3,Block Position ,Depth chrom sample (meas) ;Bit Depth (TVD) ;Bit Depth m;Total Depth m;Total Vertical Depth m;Bit Depth ;Hole depth (MD) ;Bit Depth (MD) ;Continuous Survey Depth ;Lag Depth (TVD) ;Lagged Total Depth m;SRVDEPTH 
Norway-StatoilHydro-15_$47$_9-F-15S time.csv,Average Surface Torque kN.m,Average Hookload kkgf,Average Rotary Speed rpm,Average Standpipe Pressure kPa,,Block Velocity m/s,Bit Depth (MD) m;Hole Depth (TVD) m;Hole depth (MD) m;Bit Depth (TVD) m;Bit Depth m;Lag Depth (MD) m;Continuous Survey Depth m;SRVDEPTH m
Norway-StatoilHydro-15_$47$_9-F-4 time.csv,Maximum Surface Torque kN.m,Average Hookload kkgf,Average Rotary Speed rpm,Average Standpipe Pressure kPa,,Block Position m,Bit Depth (MD) m;Hole depth (MD) m;Hole Depth (TVD) m;Lag Depth (MD) m;Continuous Survey Depth ;Bit Depth (TVD) ;SRVDEPTH ;Bit Depth ;MWD DATP Measurement Depth ;Continuous Survey Depth m;Bit Depth (TVD) m
Norway-StatoilHydro-15_$47$_9-F-5 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,Average Rotary Speed rpm,Average Standpipe Pressure kPa,,Block Velocity ,Bit Depth (TVD) ;Hole Depth (TVD) m;Lag Depth (MD) m;Continuous Survey Depth ;SRVDEPTH ;Hole depth (MD) m;Bit Depth (MD) m
Norway-StatoilHydro-15_$47$_9-F-9 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,NRPM_RT ,Average Standpipe Pressure kPa,,Block Velocity m/s,Lag Depth (MD) m;Bit Depth (MD) m;Bit Depth (TVD) m;Hole depth (MD) m;Hole Depth (TVD) m;Continuous Survey Depth m;SRVDEPTH m;SRVDEPTH ;Bit Depth ;Bit Depth (TVD) ;Continuous Survey Depth 
